Taxonomic Family_1	Taxonomic Group	Taxonomic Kingdom
Tettigoniidae	Insects	Animal
Thamnocephalidae	Crustaceans	Animal
Thamnophilidae	Birds	Animal
Theaceae	Flowering Plants	Plant
Thelypteridaceae	Ferns and Allies	Plant
Theophrastaceae	Flowering Plants	Plant
Theraphosidae	Arachnids	Animal
Theridiidae	Arachnids	Animal
Thraupidae	Birds	Animal
Threskiornithidae	Birds	Animal
Thresliornithidae	Birds	Animal
Thymelaeaceae	Flowering Plants	Plant
Tinamidae	Birds	Animal
Tingidae	Insects	Animal
Tingupidae	Millipedes	Animal
Tischeriidae	Insects	Animal
Tomoceridae	Insects	Animal
Tortricidae	Insects	Animal
Triaenonychidae	Arachnids	Animal
Triakidae	Fishes	Animal
Trichechidae	Mammals	Animal
Trichoniscidae	Crustaceans	Animal
Trichoniscoidae	Crustaceans	Animal
Trionychidae	Reptiles	Animal
Trochilidae	Birds	Animal
Trochomorphidae	Snails	Animal
Troglodytidae	Birds	Animal
Trogonidae	Birds	Animal
Turdidae	Birds	Animal
Tyrannidae	Birds	Animal
Tytonidae	Birds	Animal
Umbridae	Fishes	Animal
Unionidae	Clams	Animal
Urocoptidae	Snails	Animal
Ursidae	Mammals	Animal
Urticaceae	Flowering Plants	Plant
Valerianaceae	Flowering Plants	Plant
Valvatidae	Snails	Animal
Valvatudae	Snails	Animal
Vangidae	Birds	Animal
Varanidae	Reptiles	Animal
Varunidae	Crustaceans	Animal
Vejovidae	Arachnids	Animal
Verbenaceae	Flowering Plants	Plant
Verrucariaceae	Lichens	Plant
Vespertilionidae	Mammals	Animal
Vespertilionidae	Birds	Animal
Vespidae	Insects	Animal
Violaceae	Flowering Plants	Plant
Viperidae	Reptiles	Animal
Vireonidae	Birds	Animal
Viverridae	Mammals	Animal
Viviparidae	Snails	Animal
Woodsiaceae	Ferns and Allies	Plant
Woosiaceae	Ferns and Allies	Plant
Xantusiidae	Reptiles	Animal
Xenicidae	Birds	Animal
Xyridaceae	Flowering Plants	Plant
Zapodidae	Mammals	Animal
Zonitidae	Snails	Animal
Zorotypidae	Insects	Animal
Zosteropidae	Birds	Animal
Zygophyllaceae	Flowering Plants	Plant
Carcharhinidae	Fishes	Animal
