Conservation Plan Id	Conservation Plan Title	Conservation Plan Type
1063	"0047-Miller, Greg"	HCP
1064	"0006-Mosley, Wayne"	HCP
1065	"0041-Roush, Guy & Kerri"	HCP
1066	"0007-Slater, Jerry"	HCP
1067	"0008-Smith, Arlen W."	HCP
1068	"Sultan & Kahn Partnership, Ltd"	HCP
1070	"0050-Casey, William"	HCP
1071	"0004-Young, Jim & Nadine"	HCP
1072	"Vestcor Fund XV, Limited"	HCP
1074	"Deer Canyon Park Low-Effect HCP (Anaheim, Orange Cnty, CA)"	HCP
1075	Magic Carpet Woods Association	HCP
1076	"Raz, Martin"	HCP
1077	"Reams, Harold R."	HCP
1078	"Scarpato, Thomas V. and Neybund-Scarpato, Janet E."	HCP
1079	La Cantara Development Company (Glen E. Mitts)	HCP
1080	"Gray Mountain, Ltd."	HCP
1081	"Bell, R. Scott and Linda L."	HCP
1082	Ribelin Ranch	HCP
1083	"Woodside Trails Wilderness Experience, Inc."	HCP
1084	"Nicholson, Don and Kate"	HCP
1085	"Holcomb, Will"	HCP
1086	"Adams, Leslie and Windham, Sharon"	HCP
1088	"0020-Ellington, John W. & Grace"	HCP
1089	"0019-Wright, Evelyn"	HCP
1090	"0013-City of Bastrop, Water & Wastewater Dept. (Fisher, Michael C.)"	HCP
1091	"0010-Hansen, Aaron Thomas"	HCP
1092	"0011-Stobaugh, Mike"	HCP
1093	"0014-Todd Phillips Homes, Inc."	HCP
1094	0015-Todd Phillips Homes	HCP
1095	"0016-Rick Juarez Construction, Inc."	HCP
1096	"0048-McClure, Thomas & Marcia (4)"	HCP
1097	"0049-Bishop, Marion R. & Tassa"	HCP
1098	"0053-DuCharme, Christopher A."	HCP
1099	"0054-Shen, Albert, Inc."	HCP
1100	"0055-Glenn, Bobby"	HCP
1101	"0056-West, Darlene"	HCP
1102	"0057-Hinkston, William E. & Bonnie J."	HCP
1103	"0059-Todd Phillips Homes, Inc. (1)"	HCP
1104	"0060-Todd Phillips Homes, Inc. (2)"	HCP
1105	"0061-Todd Phillips Homes, Inc (3)"	HCP
1106	"0062-Goode, Glenn & Debbie"	HCP
1107	"0063-Haefner, Neil J. & Rostetter, Robin E."	HCP
1108	"0064-Todd Phillips Homes, Inc, (4)"	HCP
1109	"0071-Shigo, David G."	HCP
1110	"0090-Kailing, Patricia"	HCP
1111	0094-JRS Builders (2)	HCP
1112	0093-JRS Builders (1)	HCP
1113	"0017-Alley, Jason"	HCP
1114	"0018-Ingram, Clay"	HCP
1115	"0073-Conrad, Marvin C. and Terry L."	HCP
1116	"0075-Brigham, James S."	HCP
1117	"0079-Brady, Betty"	HCP
1118	"0080-Martinez, Reuben, A.."	HCP
1123	Three Mile Canyon Farms Multi Species CCAA	CCAA
1164	"Akin, R. Harry & Julia E."	HCP
1165	"Beveridge, Cliff & Sheila"	HCP
1166	"Jacobson, Robert"	HCP
1167	"Little, Timothy W."	HCP
1168	"Clayton, James W. & Wanda Sue"	HCP
1169	"Beathard, Gerry & Mary"	HCP
1173	0000-Amendment #1 46-Subdivisions (4 low quality subdivisions)	HCP
1174	0000-Amendment #1 46-Subdivisions (42 medium quality subdivisions)	HCP
1175	"0058-Howard, Johnny"	HCP
1176	"0096-Greenwood, Ansel D. & Donna S."	HCP
1177	"0097-McClure, Thomas & Marcia #5"	HCP
1178	"0098-McClure, Thomas & Marcia #6"	HCP
1179	"0021-Capstone Builders #1 (Wallman, Pam)"	HCP
1180	"0022-Capstone Builders #2 (Wallman, Pam)"	HCP
1181	"0099-Steiwig, Gary & Cheryl"	HCP
1182	"0100-Holberg, Jeff"	HCP
1183	"0101-Matl, John A. & Donna"	HCP
1184	0023-Bastrop County WCID District #2	HCP
1187	"Lower Colorado River Authority (Goss, Randy)"	HCP
1205	0081-Bowman Builders #1	HCP
1206	0082-Bowman Builders #2	HCP
1207	0104-Cornerstone Construction #5	HCP
1209	"0105-Fuller, Stephen"	HCP
1210	"0106-Tyre, John & Paula"	HCP
1211	"0107-Samaro, Joe R."	HCP
1212	"0108-Whited, Henry, Sr."	HCP
1213	"0109-Myers, Carl"	HCP
1214	LA DWF Statewide RCW	SHA
1219	Continental Homes (Pinery Glen)	HCP
1220	Montana Department of Natural Resources and Conservation Lands	HCP
1222	Three Forks	CCAA
1223	Long Point LLC	HCP
1224	Six Points Road Interchange	HCP
1225	Cooper-Turner	HCP
1226	Weyerhaeuser Company (RHS)	HCP
1227	Michigan Statewide Karner Blue Butterfly HCP	HCP
1229	Indiana Karner blue butterfly SHA	SHA
1230	"4W Ranch, Harshbarger"	CCAA
1238	Edwards Aquifer Authority Recovery Implementation Program / EARIP	HCP
1239	"The Woodlands Land Development Co., L.P."	HCP
1240	Salt River Project Roosevelt Lake Habitat Conservation Plan	HCP
1243	"0114-Serna, Pedro, Jr."	HCP
1244	"0024-Taylor, Don E."	HCP
1245	"0112-Fernandez, Richardo S. & Lydia C."	HCP
1247	"0113-Garcia, Miguel"	HCP
1256	Boy Scouts of America - Griffith League Ranch	HCP
1261	White Water Springs	HCP
1263	Barton Springs Edwards Aquifer Conservation District	HCP
1278	Sultan and Kahn (1)	HCP
1279	Williamson County Regional HCP	HCP
1339	"Williams, Michael and Pamela"	HCP
1340	"Angulo, Roberto"	HCP
1341	"Nicholson, Bruce and Myra"	HCP
1355	"0012-King, Wesley, D."	HCP
1410	"Laster, Michael & Pardue, Elizabeth"	HCP
1441	Relict Leopard Frog	CCA
1451	Surprising Cave Beetle MCNP	CCA
1458	Temecula Ridge Apartments and Temecula Village Development	HCP
1464	Conservation Agreement for bull trout in the South Fork of the Flathead River (Montana)	CCA
1465	Gunston Manor Subdivision	HCP
1466	Alexander	CCAA
1467	Henrie Safe Harbor	SHA
1468	Pace Safe Harbor	SHA
1470	Swan Valley	CCA
1476	"Snowshoe Mountain Resort (Camp Wilderness), Intrawest"	HCP
1478	Redhawk Communities	HCP
1480	Lenox Village	HCP
1482	Harley John Reservoir	HCP
1486	San Diego County Water Authority Subregional NCCP/HCP	HCP
1489	"Pahranagat Programmatic SHA in Lincoln County, NV"	SHA
1490	"Razorback Sucker and Bonytail Chub Programmatic SHA in Clark County, NV"	SHA
1492	Lahontan Cutthroat Trout Northwest DPS	SHA
1500	Gosnell Residential	HCP
1510	Sarment property	HCP
1512	Post-Ranch Inn	HCP
1523	Santa Clara Valley HCP/NCCP	HCP
1528	Robert Mondavi Winery	SHA
1532	"Crescent Resources, LLC"	HCP
1533	"Pinsto, Inc., Lake Wylie"	HCP
1534	Lamont Public Utility District	HCP
1538	City of Kent Clark Springs Water Supply	HCP
1542	AT&T - Point Arena Mountain Beaver Low Effect	HCP
1543	Terra Springs LLC Low Effect	HCP
1545	"Forster-Gill, Inc."	SHA
1554	Soulen Ranch Southern Idaho Ground Squirrel CCAA	CCAA
1556	Idaho Department of State Lands Spotted Frog CCAA	CCAA
1557	Tagshinney Tree Farm	CCAA
1560	NC Statewide RCW	SHA
1590	"0027-Creamer, John"	HCP
1591	"0028-King, Angela"	HCP
1592	"0029-Attra, Jim"	HCP
1593	"0115-Abell, Johnny J."	HCP
1594	"0116-Gonzales, Ramon O."	HCP
1595	"0120-Briscoe, Robert, L."	HCP
1596	"0123-Vogel, Douglas N."	HCP
1611	Urban Wildlands Programmatic (El Segundo blue butterfly)	SHA
1613	"Gross, Nick (Snow Construction, Inc.) Amendment 1"	HCP
1614	"Suggs,  Raymond & Dale(Hancock, John) ABM"	HCP
1615	"Waddell, Raymond"	HCP
1617	"Sizemore, Daniel (ABM)"	HCP
1618	"FML81A, LLC (Greg Miller)"	HCP
1619	"FML81,LLC (Greg MIller)"	HCP
1621	Lincoln Meadows	HCP
1622	Dahle	HCP
1624	Fort Morgan Paradise Joint Venture	HCP
1625	Gulf Highlands LLC	HCP
3033	"Laughlin, Ed L., & Sharon L."	HCP
3034	"Gaines, Charles L. (1 lot bought from Ed & Sharon Laughlin)"	HCP
3035	"Bartlett, Virginia C."	HCP
3042	"0030-Alley, Jason (#2)"	HCP
3043	"0031-McNulty, James"	HCP
3044	"0032-Paradise Land & Cattle Company #1(McKethan, C.W.)"	HCP
3045	"0035-Ingram, Craig (#2)"	HCP
3046	"0036-Orta, Angelita L."	HCP
3047	"0037-Alley, Jason (#4)"	HCP
3048	"0038-Alley, Jason (#5)"	HCP
3049	"0039-Alley, Jason (#3)"	HCP
3050	"0041-Barnes, Kevin & Julie"	HCP
3052	"0043-Godwin, William Bradford"	HCP
3053	"0124-Patton , Robin L."	HCP
3054	"0125-Whitfield, Steve"	HCP
3055	"0126-Erickson, John"	HCP
3056	"0154-Paradise Land & Cattle Company #3 (McKethan, C.W.)"	HCP
3057	"0129-Arcy, Thomas H. & Karen S."	HCP
3058	"0130-Scheuermann, Carl Frank"	HCP
3059	"0132-McClure, Thomas & Marcia"	HCP
3060	"0133-Scheuermann, Shelly"	HCP
3061	"0134-Morriss, Steven"	HCP
3062	"0135-Gilpin, Scott H."	HCP
3063	"0136-Johnson, Jeff (#3)"	HCP
3064	"0137-Milliken, Mark A."	HCP
3065	"0138-Hyatt, Richard A. & Bonnie"	HCP
3066	0139-Millenium Custom Homes #2 (Russelll Alderman)	HCP
3067	"0140-Jones, Jerry M."	HCP
3068	"0141-Edwards, Freddie"	HCP
3070	"0143-Jenkins, Billy Joe"	HCP
3071	"0144-Burgan, Brenda"	HCP
3072	"0145-Daggett, Sherry"	HCP
3073	"0146-Tapia, Martin"	HCP
3074	"0147-Odom, Mark"	HCP
3075	0148-Voicestream Wireless (Jennifer Morgan)	HCP
3076	0149-JRS Builders #3 (Joel Summerfield)	HCP
3077	0150-JRS Builders #4 (Joel Summerfield)	HCP
3078	0151-JRS Builders #5 (Joel Summerfield)	HCP
3079	0152-JRS Builders #6 (Joel Summerfield)	HCP
3080	"University of California, Davis -- 2002 Campus Projects"	HCP
3089	"0162-Yoch, Timothy"	HCP
3090	"0163-Nichols, Jennifer"	HCP
3091	"Russell Park Estates (Rockledge, Inc.; Leon A. Whitney; Gray Mountain, Ltd.)"	HCP
3092	"0092-Smith, Tamera M."	HCP
3093	"0159-Parker, Robbie J."	HCP
3094	"0160-Maldonado, Alonzo"	HCP
3095	"0158-Travis, Cher D."	HCP
3096	"0161-McClure, Thomas & Marcia #8"	HCP
3097	"0127-Paradise Land & Cattle Company #2 (McKethan, C.W.)"	HCP
3100	Red Knot Cooperative Agreement	CCA
3101	Livermore Area	HCP
3102	GA DNR Statewide RCW Amendment 1	SHA
3103	SHA - AZ Game & Fish Dept. SHA for topminnows and pupfish in Arizona	SHA
3104	Bastrop County Regional Plan - Lost Pines Regional HCP	HCP
3107	Blairwood (Silver Oak) Ltd. Property	HCP
3108	"PK-RE Development - Greenshores Subdivision (Eppright, Russell)"	HCP
3109	"Fleur Land Ltd. (Marshall, Bob) [aka Leander]"	HCP
3112	"Pecos pupfish (Tucker, David)"	CCA
3130	"0164-Dyer, James Alan"	HCP
3131	Hyundai Motor America Test Track	HCP
3132	Interim Programmatic HCP for the Zayante sandhills (Mt. Hermon June Beetle and Ben Lomond Spineflower)	HCP
3148	"University of California, Santa Cruz -- RanchView Terrace HCP"	HCP
3150	Oregon Silverspot Butterfly Central Coast SHA with The Nature Conservancy	SHA
3151	Starck Savanna Restoration	SHA
3163	Stallworth Preserve - amendment #1	HCP
3169	"WDNR Forest Lands HCP, Amendment (Bull Trout Addition)"	HCP
3171	"Howland Boulevard, Deltona"	HCP
3172	Winslow	HCP
3173	City of Palm Bay	HCP
3175	Bob Long SHA - Houston Toad	SHA
3178	Lefever	HCP
3191	Volusia Beaches	HCP
3192	Neches River rose-mallow -- Temple-Inland Forest Products Company	CCA
3193	"Crum, Blaine & Linda (ABM)"	HCP
3197	D.F. Investments	HCP
3199	Florida Fish & Wildlife Conservation Commission RCW Statewide	SHA
3201	"Roberds, George"	HCP
3206	Antelope Road HCP	HCP
3207	Columbia Basin Pygmy Rabbit Template SHA	SHA
3208	Kootenai River Burbot CCA	CCA
3211	Folsom Professional Center	HCP
3213	Boise Airport Slick Spot Peppergrass CCA	CCA
3214	Shimboff Low Effect	HCP
3217	Tahoe Yellow Cress	CCA
3222	"0165 - Parks, Nicole & John"	HCP
3223	Barrens topminnow (Cunningham)	CCA
3224	Barrens topminnow (Ramsey)	CCA
3225	Barrens topminnow (Cawthorne)	CCA
3226	Greater & lesser Adams Cave beetle	CCA
3228	Barrens topminnow (Crooks)	CCA
3229	Briargate/La Plata	HCP
3230	Struther's Ranch	HCP
3237	"0166-Weinstein, Lisa"	HCP
3238	Grande Bay Development	HCP
3239	Ben McCutcheon	HCP
3241	"0167-May, Kimberly"	HCP
3242	"0047-Vickers, George T."	HCP
3243	"0048-Goodwin, Newby"	HCP
3246	The Meadows	HCP
3247	49-Bastrop County WCID #2	HCP
3250	Tropic Vista	HCP
3251	"0170-Vinklarek, Bruce"	HCP
3252	"0171-Paradise Land and Cattle #4 (McKethan, C.W.)"	HCP
3253	"0050-Paradise Land and Cattle #5 (McKethan, C.W.)"	HCP
3254	"0051-Paradise Land and Cattle #6 (McKethan, C.W.)"	HCP
3255	"0052-Paradise Land and Cattle #7 (McKethan, C.W.)"	HCP
3256	"Smoot, Ralph"	HCP
3257	Ashley Reserve	HCP
3269	WDNR Forest Practices HCP	HCP
3270	OR State Parks & Rec Western Snowy Plover HCP	HCP
3271	Elliott and Gracia	HCP
3273	"Marty, Richard, Single Family, Al.Beach Mouse"	HCP
3274	"Jones, Ronald, Single Family App, Al beach mouse"	HCP
3275	"Young, Jim, Single Family App, ABM"	HCP
3279	"Rains, Sheila"	HCP
3281	Mayhoffer Trail	HCP
3282	Denver Water Board	HCP
3284	"Reid, Roger & Waneck, Marie"	HCP
3285	"Sultan & Kahn Partners, Ltd. - 2"	HCP
3286	"Nasello, Gerald & Mary, ABM"	HCP
3287	"Gulas, John, ABM"	HCP
3288	"Phoenix VIII/Brett Real Estate, Amendment 1"	HCP
3294	"0053-White, Eric"	HCP
3295	"0054-Lange, Coralie"	HCP
3297	"Gulf State Park, Hotel and Convention Center"	HCP
3300	"6 D Ranch, Ltd. Amendment #2 (Winstead, Pete) [aka BRE/Baldwin Ranch  and previously Balfour Real Estate Group and Leaf Lee Ranch, Ltd.]"	HCP
3301	"Hunting and Mercantile (Tindall, Lewis)"	HCP
3302	SHA - Pueblo of Santa Ana Safe Harbor Agreement	SHA
3322	White River Spinedace at Indian Spring	SHA
3328	"Ott, Elizabeth"	HCP
3329	"Calhoun, Doug (ABM)"	HCP
3330	"Williamson, Richard Bradley, ABM"	HCP
3331	"Robson, Ralph"	HCP
3332	Billiet (ABM Single Family)	HCP
3334	Louisiana pine snake -- federal land (USFS and DOD)	CCA
3338	Malpai Borderlands	HCP
3339	SHA - AZ Game & Fish Dept. Arizona Statewide SHA for Chiricahua leopard frog	SHA
3341	Salt River Project Horseshoe and Bartlett HCP	HCP
3345	SHA - TNC Aravaipa SHA for Gila topminnow and desert pupfish	SHA
3347	Lumberman's Investment Corp. - Cibolo Canyon HCP	HCP
3349	Columbia Spotted Frog Great Basin DPS (Northeastern Subpopulations)	CCA
3350	Southern Multicapital Corporation	HCP
3351	"0174 - Pardue, Susan"	HCP
3352	"0175 - Oliver, Jed"	HCP
3355	Hoffman	HCP
3357	Fisher Family	HCP
3360	San Clemente Island Fox	CCA
3364	City of Elk Grove Safe Harbor Agreement	SHA
3372	Santa Cruz Gardens Unit 12	HCP
3375	Maronda Homes Inc. of Florida	HCP
3383	Mt. Ashland Lupine and Henderson's Horkelia	CCA
3384	State of Montana Umbrella Agreement for Westslope Cutthroat trout	CCAA
3385	Wyoming Toad	SHA
3386	least trillium (Putnam County YMCA)	CCA
3389	SHA - Crosswhite / EC Bar Ranch SHA	SHA
3390	Fowler's and Inquirer cave beetles	CCA
3391	Dry Cave pseudoscorpions	CCA
3393	Crystal Caverns cave spider	CCA
3394	Berry Cave salamander	CCA
3395	Pi`iholo Ranch - Nene Reintroduction	SHA
3396	Slick Spot Peppergrass	CCA
3397	Southern Idaho Ground Squirrel Programmatic	CCAA
3399	"0173 - Portice, William"	HCP
3400	"0172 - Spiett, Ernest Geoffery"	HCP
3402	The Woodlands Amendment #1	HCP
3403	Barrens topminnow (Marcum)	CCA
3404	Barrens topminnow (Herndon)	CCA
3405	Barrens topminnow (Collier)	CCA
3406	Barrens topminnow (Bridges)	CCA
3409	Virginia-Carolina Properties RCW HCP	HCP
3413	"White, John"	HCP
3419	Stimson Lumber Company	HCP
3422	"0177-Murray, Stacy"	HCP
3423	NIPSCO	HCP
3424	"Relinski, Robert, Lot 44B(ABM)"	HCP
3425	"Bordenkircher, Greg (ABM)"	HCP
3426	"Bertrand, Sarah (ABM)"	HCP
3427	"Sciortino, Michael, 4546 Hwy 180(ABM)"	HCP
3429	"Ryder, Jeffery (ABM)"	HCP
3430	"Zak, Debra (ABM)"	HCP
3431	"CCM Properties, LLC (ABM)"	HCP
3432	"Abraham, Wadie (ABM)"	HCP
3433	"Bolster, Edith (ABM)"	HCP
3434	"Lucas, Katie (ABM)"	HCP
3435	Harrison Building & Inv- Yates (ABM)	HCP
3436	"Hand, Perry (ABM)"	HCP
3437	"Mangold, Linda (ABM)"	HCP
3438	"Greene, Jody Lee (ABM)"	HCP
3439	"David Sime, Single Family, Brevard Co., FL"	HCP
3440	Chewacla Creek SHA	SHA
3441	"Jacobs, Dorothy"	HCP
3443	0179-EFC Builders	HCP
3444	"0180-Kuhn, Anthony"	HCP
3446	"Dunes of GP, LLC. (Formerly part of Sage)"	HCP
3447	"0181-Highsmith, J.D."	HCP
3449	"0176-Eades, Thomas F."	HCP
3450	"0182-Whitworth, Jack"	HCP
3452	"0178 - Woods, Roxann Lee"	HCP
3470	"Plum Creek Timber I-90 HCP, Amendment (addition of Canada lynx and Puget Sound/Coastal DPS of bull trout)"	HCP
3471	"Smartt, Phil, Single Family Res. (ABM)"	HCP
3472	"Bartee, Terry (ABM)"	HCP
3473	"Howell, Robert (ABM)"	HCP
3474	"Nayden, G/Gulfwind (ABM)"	HCP
3475	"Hastings, Leo (ABM)"	HCP
3476	"Nayden, Greg/Veterans (ABM)"	HCP
3477	"Nayden, Greg/Surfside (ABM)"	HCP
3479	Martens & Loague (ABM)	HCP
3480	"Smith, Delmar (ABM)"	HCP
3481	"Jordan, Virginia (ABM)"	HCP
3482	Harrison Building & Inv- Jim Young (ABM)	HCP
3484	"Cox, Thomas (ABM)"	HCP
3485	"Lane, Kerwin (ABM)"	HCP
3486	"Stephenson, James (ABM)"	HCP
3488	"Yokley, Robert (ABM)"	HCP
3489	"Cooper, Walter (ABM)"	HCP
3490	"Edgemon, Jim (ABM)"	HCP
3491	"Adams, Bradley (ABM)"	HCP
3492	"Pate, Robert (ABM)"	HCP
3494	Cottonwood Creek (Cottonwood Watershed Group)	SHA
3499	"Cromer, George (ABM)"	HCP
3500	"Crews, Greg (ABM)"	HCP
3502	Steve Therrien	HCP
3504	"Moren, Robert HCP"	HCP
3505	East Bay Municipal Utility District	HCP
3506	Riverside Development Group (Lake Washington Preserve)	HCP
3507	Hillcrest Travel Plaza	HCP
3509	Duke Construction Corporation--McTavish	HCP
3513	Deleta Earle	HCP
3514	"PG&E Metcalf - El Patio, Metcalf -Hicks/Vasona LE HCP"	HCP
3517	Donald Von Raesfeld Power Plant LE (formerly Pico Power Plant)	HCP
3529	Ocean Shore Estates	HCP
3530	Kauai Island Utility Cooperative (KIUC) Short-Term HCP	HCP
3535	Bean Creek Estates	HCP
3537	Whiskey Creek HCP	HCP
3540	Eagle's Nest Open Space	HCP
3541	Family Crisis Center	HCP
3542	Hancock Natural Resources Group (Transfer from IP Timberland ITP)	HCP
3543	"International Paper (RHS), Reduction in Acreage"	HCP
3544	"0184-Garza, Mauricio"	HCP
3546	Maronda Homes Wilderness	HCP
3548	"Phidd, Kheino"	HCP
3550	"Stoddard, Mike, Lot 157, ABM Batch 3"	HCP
3551	"Stoddard, Mike, Lot 156, ABM Batch 3"	HCP
3552	"Byrd, Jerilyn, ABM"	HCP
3553	"Dinges, Ellen, ABM"	HCP
3554	"Silvas, Jose, ABM"	HCP
3555	"Harrison Building & Inv., Dawson Prop. ABM"	HCP
3556	"Denholm, William, ABM"	HCP
3558	"Bullock, Billy"	HCP
3559	"Quinn, Steven, Lot 38B, ABM"	HCP
3560	"Quinn, Steven, Lot 28C, ABM"	HCP
3562	"Striplin, Ken, Lot 40, ABM"	HCP
3563	"Striplin, Ken, Lot 40A, ABM"	HCP
3564	"Striplin, Ken, Lot 41, ABM"	HCP
3565	"Striplin, Ken, Lot 41A, ABM"	HCP
3566	"Striplin, Ken, Lot 42, ABM"	HCP
3567	"Striplin, Ken, Lot 52, ABM"	HCP
3568	"Striplin, Ken, Lot 53, ABM"	HCP
3569	"Striplin, Ken, Lot 54, ABM"	HCP
3570	"Striplin, Ken, Lot 55, ABM"	HCP
3571	"Striplin, Ken, Lot 56, ABM"	HCP
3572	"Randolph, James, ABM"	HCP
3576	"Gray Mountain, Ltd. -- Amendment # 1"	HCP
3577	Texas Kiln Products	HCP
3578	"Grason Volente Investments, Ltd. - Amendment # 5"	HCP
3579	"Erwin, William (ABM Batch 3)"	HCP
3582	Los Esteros LE	HCP
3585	Mokelumne River Programmatic	SHA
3586	Yolo County Audubon	SHA
3587	"Strong, Larkin (ABM Batch 3)"	HCP
3589	"Elliott State Forest, Termination"	HCP
3594	Westlake Ranch HCP	HCP
3596	"Nasello, Gerald & Mary, ABM, Lot Number Change"	HCP
3602	Marin County Programmatic - Pine Gulch Creek	SHA
3612	"Potrero Valley/Laborde Canyon Lockheed Martin Low-Effect HCP (Riverside Cnty, CA)"	HCP
3613	Upper Santa Ana River Wash	HCP
3614	"Southern California Edison Etiwanda and Miraloma Corridor Low-Effect HCP (Riverside/San Bernardino Cnty, CA)"	HCP
3617	Atlantis at Tequesta	HCP
3618	Adams Cave Beetles CCAA	CCAA
3619	Harbor Heights Fire Station	HCP
3621	Casa del Sol	HCP
3622	City Gate	HCP
3624	Elizabeth Cross Roads Property HCP	HCP
3626	Oakmont Grove Venture	HCP
3628	"Tamburri, Nicholas SFL"	HCP
3629	Van Brunt SFL	HCP
3639	Fruit Growers Supply Company	HCP
3643	"Becker, Robert"	HCP
3645	Cobb to Brickyard Reconductoring Project	HCP
3646	Predevelopment  LTD	HCP
3647	Cedar City Corporation Golf Course	HCP
3649	Habitat Conservation Plan for the West Virginia Northern Flying Squirrel:  Recreation and Infrastructure Expansion at Snowshoe Mountain	HCP
3653	San Luis Valley	HCP
3655	Monument Creek Interceptor Tie-In	HCP
3660	"Relinskin, Robert,(Seglio) Lot 40, ABM Batch 3"	HCP
3662	SHA - Pueblo of Santa Ana Amendment # 1	SHA
3666	"Pulis, Michael"	HCP
3667	"McRill, Lannie (ABM Batch 3)"	HCP
3669	"0185-Gonzalez, Orlando"	HCP
3670	"Gauthier, Carlos HCP"	HCP
3672	"Shaw Mira Loma LLC Low-Effect HCP (Riverside Cnty, CA)"	HCP
3673	"0186-Fritz, Randy (Handmade Homes)"	HCP
3675	Volusia County Deltona Library extension	HCP
3677	"Simmons, Preston (ABM Batch 3)"	HCP
3678	"Susko, Robert (ABM Batch 3)"	HCP
3679	"Stoddard, Mike ,Lot 121 (ABM Batch 3)"	HCP
3681	Retreat Condominum	HCP
3682	Searinity Condominium	HCP
3683	"Butler, Eugene HCP"	HCP
3687	Pioneer Meadows HCP	HCP
3688	"Mason, Danny (ABM Batch 3)"	HCP
3690	Charlotte County Capital Improvement Projects	HCP
3691	Copper Mountain College HCP	HCP
3692	Shadow Wood Subdivision	HCP
3693	Generation Builders	HCP
3694	"Markieh, Ali (Cynthia St.)"	HCP
3696	"BIOA, LLC Lot 9 (ABM Batch 3)"	HCP
3697	"BIOA, LLC, Lot 10(ABM Batch 3)"	HCP
3698	WindMar RE Project	HCP
3699	"Relinski, Robert (Borel) Lot 9 (ABM Batch 3)"	HCP
3700	"LK & K (Larry Powell) Lot 6,  (ABM Batch 3)"	HCP
3701	LK & K (Larry Powell) Lot 10 Privateer Point (ABM Batch 3)	HCP
3702	"Dalgo, Lawrence Lot 76 (ABM Batch 3)"	HCP
3703	"Dalgo, Lawrence, Lot 77 (ABM Batch 3)"	HCP
3704	"Crick, Robin (ABM Batch 3)"	HCP
3705	"Spivey, Ronnie (ABM Batch 3)"	HCP
3706	"Sciortino, Michael, Lot 2-Cabana(ABM Batch 3)"	HCP
3707	"Barron Investments, Lot59 (ABM Batch 3)"	HCP
3708	"Southbrook Gulf Shores, Lot 56 (ABM Batch 3)"	HCP
3709	"Barron Investments, Lot 60 (ABM Batch 3)"	HCP
3710	"Southbrook Gulf Shores, Lot 57 (ABM Batch 3)"	HCP
3711	"Barron Investments, Lot 58 (ABM Batch 3)"	HCP
3713	"Reyna, Jesus"	HCP
3714	"Gulf State Park, Mod. for Parking Lot Reconfiguration"	HCP
3715	Maronda Homes-Aries-Port St. Johns	HCP
3717	"Lindsey, Walt (ABM Batch 3)"	HCP
3718	"Lingsch, William (ABM Batch 3)"	HCP
3721	Chico (River Partners)	SHA
3722	"Pickereing, Margaret (ABM Batch 3)"	HCP
3723	Bosserman	HCP
3726	"Nissan, Edward"	HCP
3729	"Founders Ridge, Inc."	HCP
3732	Parrish Medical Center	HCP
3734	"Castro, Ivania"	HCP
3735	"Programmatic Safe Harbor Agreement Covering Hawaiian Goose, Duck, Moorhen, Coot, and Stilt for Participants of USDA Farm Bill Conservation Programs"	SHA
3736	Lahontan Cutthroat Trout Humboldt DPS	SHA
3738	Joshua Tree Campground	HCP
3741	Metropolitan Water District of Southern California Ormond Beach Property	SHA
3742	Hays County Regional HCP	HCP
3743	Deane Dana Friendship Community Regional Park (Palos Verdes blue butterfly)	SHA
3747	Martin Branch Woodland Tract (Lambert) SHA	SHA
3749	"Webster, Edward HCP"	HCP
3750	"Jorden, Debra HCP"	HCP
3751	GA DNR Statewide RCW HCP & SHA - Amendment #2	SHA
3755	Duke Construction Corporation Alden Ave	HCP
3756	"Stone, Dustin"	HCP
3771	"Markieh, Ali (Cheltenham & Jupiter)"	HCP
3772	Knudsen	HCP
3773	Intoccia	HCP
3774	Catlow	HCP
3775	"TXU Electric, Copperas Cove to Ding Dong"	HCP
3776	Oncor HCP	HCP
3777	"Pauwels, Bertha MFL"	HCP
3778	Results Builders SFL 1	HCP
3781	"Celeslie, Chris (ABM Batch 3)"	HCP
3782	"Sims, Claude (ABM Batch 3)"	HCP
3784	"Molleston, Michael (ABM Batch 3)"	HCP
3785	"Athanas, Paul SFL"	HCP
3786	Boxer SFL	HCP
3788	"Mosel, Peter SFL"	HCP
3789	"Wilson, John and Carmen SFL"	HCP
3791	Bastrop County Utilities	HCP
3792	Lower Colorado River MSCP	HCP
3794	R2 Development (Lake of the Woods)	HCP
3795	Bigord SFL	HCP
3797	Results Home SFL	HCP
3798	Perez SFL	HCP
3800	Barrens topminnow (Gipson)	CCA
3801	Barrens topminnow (Cooper)	CCA
3802	Chucky madtom (Weems)	CCA
3803	Chucky madtom (Cruey)	CCA
3804	Chucky madtom (Ballard)	CCA
3809	SHA - Leslie Canyon Watershed SHA (Barboot/99-Ranch)	SHA
3810	Aulbach SFL	HCP
3812	The Woodlands Amendment # 2	HCP
3813	Comanche Canyon Amendment # 1	HCP
3816	Sanchez  - Renewed	HCP
3817	Schlumberger Amendment # 1	HCP
3828	Gunnison Sage-grouse Umbrella CCAA	CCAA
3831	Sierra Pacific Industries for Fisher for the Stirling Management Area	CCAA
3832	Struthers Ranch Major Amendment	HCP
3833	Bellvue WTP Ponds Toe Drains	HCP
3835	Gunnison Sage-grouse Rangewide Conservation Plan	CCA
3836	"Eastern massasauga rattlesnake CCAA for Rome State Nature Preserve, Ashtabula County, Ohio"	CCAA
